Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Quantity,Visibility_Revenue,Revenue_Item
FDA15,9.3,low fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,15,59.9389,0.17124515988223463
DRC01,5.92,regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,9,8.5484,0.025776557498172224
FDN15,17.5,low fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,15,35.1504,0.09615369939911571
NCD19,8.93,low fat,0.013216662,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,18,13.1467,0.046661535005140246
FDO10,13.65,regular,0.012741088999999999,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,6,4.3772,0.016116032170450042
FDP10,19.0,low fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,37,512.7811,0.12625107037588215
FDH17,16.2,regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Small,Tier 2,Supermarket Type1,1076.5986,11,17.9653,0.05289819632526011
FDU28,19.2,regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Small,Tier 2,Supermarket Type1,4710.535,25,444.9081,0.21833832039659498
FDY07,11.8,low fat,0.12187957333333332,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,33,184.7727,0.06950538842278935
FDA03,18.5,regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,15,99.4362,0.1042783456048169
FDX32,15.1,regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,11,158.9479,0.07286313665577435
FDS46,17.6,regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,18,101.3768,0.10227848692198481
FDF32,16.35,low fat,0.06802430000000001,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.4260000000002,10,134.513,0.09276088284154387
FDP49,9.0,regular,0.06908896099999999,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,27,106.9027,0.0737725647444732
